org_name,time,category,org_rating
,2026-03-14 10:02:58,Other and unspecified,
Manolya Pastanesi,2026-03-05 07:07:37,Other and unspecified,4.3
Ayazma Pınarı Tabiat Parkı,2026-03-11 12:11:36,"Nature, parks and outdoor places",0.0
Çanakkale Fen Lisesi Pansiyonu,2026-03-11 12:13:57,"Construction, renovation and interior",
Bus Station Hairdresser,2026-03-15 05:24:11,Retail and trade,
Ermitaj Müzesi,2026-03-02 20:23:26,"Nature, parks and outdoor places",5.0
Çarşı Mah.,2026-02-21 11:14:34,Government and municipal services,
Mençuna Restaurant,2026-03-01 16:52:36,Food and beverages,4.4
,2026-03-02 20:22:43,Other and unspecified,
Tek Yapı Emlak,2026-02-20 19:53:15,Real estate and business properties,3.3
Atatepe,2026-02-28 07:34:24,"Nature, parks and outdoor places",4.5
Flea market,2026-03-02 20:17:35,Retail and trade,4.9
Ermitaj Müzesi,2026-03-02 20:22:07,"Nature, parks and outdoor places",5.0
,2026-03-15 01:26:16,Other and unspecified,
Deniz Reklam,2026-03-06 14:34:11,"Automotive, motorcycles and vehicles",
Altunlar Oto Lastik,2026-02-25 21:49:33,"Automotive, motorcycles and vehicles",
Finlandiya,2026-03-10 11:09:35,Agriculture,
Avcı Pasajı,2026-02-21 11:14:24,Retail and trade,
Nefes Cafe Restoran,2026-03-01 20:43:10,Food and beverages,4.2
Altunlar Oto Lastik,2026-02-25 21:47:36,"Automotive, motorcycles and vehicles",4.4
Hilas Thermal Resort & Spa,2026-03-15 05:49:47,"Tourism, lodging and travel",4.2
Trabzon Dsi Misafirhanesi,2026-03-10 08:09:51,"Tourism, lodging and travel",4.3
,2026-02-28 07:32:51,Other and unspecified,
Vos Car Care,2026-03-15 05:23:52,"Automotive, motorcycles and vehicles",4.8
Mençuna Restaurant,2026-03-01 16:50:57,Food and beverages,4.4
Bus Station Hairdresser,2026-03-15 05:23:20,Retail and trade,
Ermitaj Müzesi,2026-03-02 20:19:01,"Nature, parks and outdoor places",5.0
Mençuna Restaurant,2026-03-01 16:50:31,Food and beverages,4.4
,2026-03-16 13:16:38,Other and unspecified,
Ezine,2026-03-11 12:15:24,"Landmarks, addresses and geography",
