org_name,time,category,org_rating
Diva Bayan kuaförü,2026-03-06 10:36:54,"Beauty, personal care and wellness",4.1
Ofiş Ocakbaşı,2026-03-10 09:15:33,Food and beverages,2.7
Atatürk İlkokulu,2026-03-10 21:05:42,Education and training,
Gusto Celepoğlu Konağı,2026-02-19 00:30:10,Food and beverages,4.9
Muş Halk Eğitim Merkezi ve Akşam Sanat Okulu,2026-03-08 22:15:39,Education and training,
Muş,2026-03-13 09:47:55,"Landmarks, addresses and geography",
,2026-02-16 05:47:43,Other and unspecified,
Burnubulak İlkokulu,2026-02-16 19:14:46,Education and training,
Caru' Cu Bere,2026-03-14 13:09:22,Food and beverages,4.9
Elazığ Merkez ,2026-03-16 02:00:14,"Nature, parks and outdoor places",
,2026-03-08 08:56:18,Other and unspecified,
Salvation of the Romanian Nation Cathedral,2026-03-14 13:07:03,Religion and community organizations,4.2
Aralık Merkez Camii,2026-03-08 14:01:09,Religion and community organizations,
Muş Halk Eğitim Merkezi ve Akşam Sanat Okulu,2026-03-08 22:13:40,Education and training,
Ayasofya Camii,2026-03-06 16:25:50,Religion and community organizations,4.9
Ayasofya Camii,2026-03-06 16:26:58,Religion and community organizations,4.9
Mili park,2026-03-08 08:48:58,"Culture, arts and entertainment",
Parfumuri Arabesti - Marab Perfumery,2026-03-13 08:34:30,"Beauty, personal care and wellness",
Caru' Cu Bere,2026-03-14 13:07:50,Food and beverages,4.9
,2026-02-15 18:37:34,Other and unspecified,
Küçük Park,2026-03-08 11:53:11,"Culture, arts and entertainment",4.4
Universitatea din București,2026-03-14 13:12:01,Agriculture,0.0
Bayraklı,2026-03-08 08:50:16,"Nature, parks and outdoor places",
Küçük Park,2026-03-08 08:46:59,"Culture, arts and entertainment",4.4
Iğdır CineGold's Sinemaları,2026-02-24 15:58:44,"Culture, arts and entertainment",
Ayasofya Camii,2026-03-06 02:35:15,Religion and community organizations,4.9
Eymir Gölü,2026-02-15 18:48:02,"Utilities, security and maintenance services",
Atatürk İlkokulu,2026-03-10 21:06:09,Education and training,
Tatvan Oto Özel Volkswagen Servisi,2026-03-15 10:28:21,"Automotive, motorcycles and vehicles",
