org_name,time,category,org_rating
Alimoğlu Baklava,2026-03-17 09:47:30,Food and beverages,4.1
Star Taşıma,2026-02-21 19:03:01,"Automotive, motorcycles and vehicles",4.1
Haydar Game Zone - İnternet Kafe,2026-02-28 15:05:09,Food and beverages,4.7
DHL Freıght Taşımacılık ve Lojistik Hizmetleri,2026-03-14 06:40:22,"Utilities, security and maintenance services",4.0
Ay Güzellik Salonu,2026-03-04 10:43:07,"Beauty, personal care and wellness",
S. S. 62 Nolu Manisa Muradiye Birlik,2026-03-02 18:58:56,Transportation and logistics,1.4
,2026-02-14 10:39:32,Other and unspecified,
Mod Dijital Fotoğrafçılık,2026-02-14 18:43:19,"Utilities, security and maintenance services",4.3
Akhisar Turizm,2026-03-17 13:12:03,"Landmarks, addresses and geography",4.1
Alphard Çarşı Avm,2026-02-15 09:43:59,Retail and trade,3.9
,2026-03-05 18:14:21,Other and unspecified,
Asrın Helvacısı,2026-03-14 10:04:54,Food and beverages,4.6
Garanti BBVA Akhisar Şubesi,2026-03-17 12:30:30,Agriculture,2.1
,2026-03-14 11:51:44,Other and unspecified,
Silivri,2026-02-20 22:29:38,"Landmarks, addresses and geography",
Savaştepe,2026-03-14 11:39:27,"Landmarks, addresses and geography",
Hz Osman Cami,2026-03-12 12:35:26,Religion and community organizations,
Salihli Otobüs Terminali,2026-02-28 14:32:35,"Landmarks, addresses and geography",3.0
Piazza Mercato,2026-02-14 17:48:18,"Landmarks, addresses and geography",
Turgutlu Kent Müzesi,2026-02-13 22:31:13,"Nature, parks and outdoor places",4.9
Kula,2026-03-04 21:52:16,"Landmarks, addresses and geography",
Haydar Aliyev Uluslararası Havalimanı,2026-02-22 12:01:52,"Nature, parks and outdoor places",5.0
Muradiye Mah.,2026-02-22 20:45:09,Government and municipal services,
S. S. 62 Nolu Manisa Muradiye Birlik,2026-03-17 13:27:14,Transportation and logistics,1.4
Muradiye Mah.,2026-02-14 11:44:30,Government and municipal services,
Yeşilyurt Köyü,2026-03-03 15:44:57,"Landmarks, addresses and geography",
"İsmet Paşa Cad., No:30",2026-02-21 23:40:36,Agriculture,
Kula,2026-03-06 14:45:51,"Landmarks, addresses and geography",
,2026-02-24 19:06:58,Other and unspecified,
Amasya Yalıboyu Evleri,2026-03-05 19:29:13,"Nature, parks and outdoor places",4.9
Soma,2026-03-10 07:16:51,"Landmarks, addresses and geography",
Çınar Tmgd Dış Ticaret,2026-03-12 11:56:22,Transportation and logistics,
Manisa Prime Avm Taksi,2026-03-12 21:11:27,"Automotive, motorcycles and vehicles",2.0
Taksim,2026-02-14 14:01:54,Other and unspecified,
Şef Rasül - Çorba ve Yemek Çeşitleri,2026-03-13 05:43:14,Food and beverages,4.9
Özgen Makine,2026-03-06 06:30:41,"Manufacturing, industry and equipment",
Ortaca Otogar,2026-02-16 15:19:08,"Landmarks, addresses and geography",
Vestel Yetkili Servisi - Akhisar - Murat Çatalca,2026-03-11 11:48:40,"Utilities, security and maintenance services",5.0
Çağlayan Nakliyat,2026-03-14 06:36:24,Transportation and logistics,
Çorum Merkez,2026-03-04 14:16:44,"Nature, parks and outdoor places",
Eruh İlçe Milli Eğitim Müdürlüğü,2026-02-20 09:07:11,Government and municipal services,
Kurşunlu Kaplıcaları,2026-03-11 09:28:11,"Tourism, lodging and travel",4.3
,2026-02-22 20:51:40,Other and unspecified,
,2026-02-15 23:30:14,Other and unspecified,
Erzin,2026-03-09 19:33:38,"Landmarks, addresses and geography",
Kazak Ulusal Sirki,2026-03-01 22:50:47,"Culture, arts and entertainment",5.0
Baytürk Harita Mühendislik Bürosu,2026-03-04 21:50:58,"Landmarks, addresses and geography",5.0
Nazarköy Mah.,2026-03-07 21:13:51,Government and municipal services,
Ulusoy Dikili Otogar Şubesi,2026-02-21 07:35:04,Transportation and logistics,3.8
Yota,2026-02-22 08:43:14,"IT, telecommunications and electronics",1.0
Natürel Cafe Pastisserie,2026-03-09 08:25:24,Food and beverages,4.3
Troia Antik Kenti,2026-02-15 13:54:30,"Nature, parks and outdoor places",4.4
Ayliz Group Gıda Pazarlama Sanayi ve Ticaret Limited Şirketi,2026-02-27 14:59:59,Food and beverages,
