org_name,time,category,org_rating
İngiliz Müzesi,2026-02-28 13:36:56,"Nature, parks and outdoor places",4.7
Anadolu Medeniyetleri Müzesi,2026-03-10 19:08:47,"Nature, parks and outdoor places",5.0
Idol Salon Hair Design,2026-02-16 08:10:58,"Beauty, personal care and wellness",4.5
Bir Kelebek Masalı,2026-03-09 22:15:22,"Culture, arts and entertainment",
Fatsa,2026-02-21 09:30:58,"Landmarks, addresses and geography",
Vestel,2026-02-13 21:19:42,Retail and trade,5.0
Samsun Eğitim ve Araştırma Hastanesi,2026-02-23 21:21:28,Healthcare and medical services,3.5
Sarayburnu Pastanesi,2026-02-20 16:13:28,Food and beverages,4.3
Ptt,2026-02-20 17:43:44,"Landmarks, addresses and geography",1.0
Meşhur Bafra Pidecisi Koray Çatan,2026-03-13 13:05:50,Food and beverages,4.4
Alba Kent Sitesi,2026-03-11 21:52:08,Government and municipal services,
Milli Eğitim Bakanlığı Şura Salonu,2026-02-17 06:51:52,"Construction, renovation and interior",3.7
Antalya Şehirlerarası Otobüs Terminali,2026-02-14 16:08:59,"Landmarks, addresses and geography",3.9
Kuveyt Türk Of Şubesi,2026-02-24 08:04:33,Agriculture,4.1
Sinem Eczanesi,2026-02-27 18:10:44,Healthcare and medical services,4.7
Çatak Mah.,2026-02-21 08:20:28,Government and municipal services,
Gülhan Restoran,2026-02-15 04:58:43,Food and beverages,4.3
Ankara Kalesi,2026-03-08 13:23:03,"Nature, parks and outdoor places",4.4
Reşadiye Gençlik Hizmetleri ve Spor İlçe Müdürlüğü,2026-02-17 18:00:28,Government and municipal services,
Mardin Şah Kebap Künefe,2026-02-27 11:52:47,Food and beverages,4.7
Hülya Eczanesi,2026-03-15 13:15:13,Healthcare and medical services,4.3
Kostaki Konağı,2026-02-26 18:40:47,"Nature, parks and outdoor places",0.0
Türk Telekom,2026-02-24 08:04:01,"IT, telecommunications and electronics",
Nuri Usta Samsun Pidecisi,2026-03-11 02:34:35,Food and beverages,4.6
Bosch Yetkili Servisi,2026-02-18 08:50:55,"Utilities, security and maintenance services",4.3
Gülhan Restoran,2026-02-15 04:58:09,Food and beverages,4.3
Karakaya Karakuz İlkokulu,2026-02-21 11:38:18,Education and training,
,2026-03-16 17:28:21,Other and unspecified,
Samsun Çarşamba Havalimanı,2026-03-06 10:38:37,"Nature, parks and outdoor places",4.0
,2026-02-23 21:09:59,Other and unspecified,
Aydeniz Cnc İşlemleri Mebmran Kapak Mobilya İmalat,2026-03-13 10:49:33,"Construction, renovation and interior",
Ladik Kayak Merkezi,2026-03-04 13:50:43,"Nature, parks and outdoor places",4.2
Area Copy Center,2026-02-15 18:13:04,Retail and trade,
"Sahil Cad., No:426A",2026-02-28 09:14:24,Agriculture,
,2026-03-02 08:37:57,Other and unspecified,
Merzifon,2026-02-27 17:03:40,"Landmarks, addresses and geography",
Bafra Belediyesi,2026-02-15 07:49:25,Government and municipal services,0.0
Büyük Cami,2026-02-15 18:11:08,Religion and community organizations,4.9
Kostaki Konağı,2026-02-26 18:42:17,"Nature, parks and outdoor places",0.0
Trabzon İçmesuyu ve Kanalizasyon İdaresi Genel Müdürlüğü,2026-02-17 14:19:35,Government and municipal services,0.0
Hocaahmet 9. Sok.,2026-02-21 10:32:02,"Landmarks, addresses and geography",
Trendyol Express Tokat 1,2026-03-08 00:14:01,Transportation and logistics,
Şimel Gayrimenkul,2026-02-14 00:07:40,Real estate and business properties,
,2026-03-13 20:38:29,Other and unspecified,
Megie Çiçek Çikolata Balon,2026-03-08 11:50:41,"Nature, parks and outdoor places",4.9
,2026-03-07 04:12:07,Other and unspecified,
Ayane Fırını,2026-03-09 14:08:58,Food and beverages,4.1
Begonville,2026-02-18 01:28:28,Food and beverages,5.0
,2026-03-12 12:03:20,Other and unspecified,
Kıcıroğlu Et Restoran,2026-03-13 13:22:30,Food and beverages,4.0
,2026-03-03 09:05:41,Other and unspecified,
