org_name,time,category,org_rating
,2026-03-03 20:44:08,Other and unspecified,
,2026-02-20 15:00:15,Other and unspecified,
Başıbüyük Mah.,2026-02-13 22:52:59,Government and municipal services,
Ayasofya Müzesi,2026-03-07 20:57:09,"Nature, parks and outdoor places",
Yenimuhacir Beldesi,2026-02-28 03:48:41,"Landmarks, addresses and geography",
Edirne,2026-03-11 20:41:39,"Landmarks, addresses and geography",
Burc Halife,2026-02-13 23:27:25,"Nature, parks and outdoor places",5.0
Smart Edirne,2026-03-12 16:05:11,Retail and trade,
Kipa,2026-03-11 12:58:17,Food and beverages,4.2
Eskişehir,2026-03-01 09:34:12,"Landmarks, addresses and geography",
Edirne,2026-03-02 14:37:58,"Landmarks, addresses and geography",
Bükreş,2026-03-01 09:35:09,"Landmarks, addresses and geography",
Edirne,2026-03-14 16:54:22,"Landmarks, addresses and geography",
,2026-03-08 09:57:18,Other and unspecified,
Murat Mobilya,2026-02-27 05:15:29,Retail and trade,4.1
Bu Kule,2026-02-21 17:58:09,Government and municipal services,
Erasta Edirne Alışveriş Merkezi,2026-03-11 12:54:58,Retail and trade,4.4
European Bankası,2026-03-12 18:06:37,Agriculture,
A1 Auto,2026-03-09 05:38:39,"Automotive, motorcycles and vehicles",5.0
,2026-03-03 23:19:31,Other and unspecified,
Fashion Arena Prague Outlet,2026-02-22 04:32:48,Retail and trade,4.5
,2026-03-12 16:10:12,Other and unspecified,
Bükreş,2026-03-08 20:29:33,"Landmarks, addresses and geography",
Edirne Selimiye Camii,2026-03-08 09:57:44,"Nature, parks and outdoor places",
Smart Edirne,2026-03-12 16:12:33,Retail and trade,
Metro Toptancı Market,2026-03-09 19:34:57,Retail and trade,4.2
Sultan II. Bayezid Kulliyesi Sağlık Müzesi,2026-03-07 13:00:11,"Nature, parks and outdoor places",5.0
Tatvan Ticaret ve Sanayi Odası,2026-02-19 00:38:58,Retail and trade,0.0
2026. Sok.,2026-03-02 13:53:12,"Landmarks, addresses and geography",
Priştine,2026-02-16 07:34:37,"Landmarks, addresses and geography",
Edirne Belediyesi,2026-02-16 10:11:09,Government and municipal services,0.0
Narin-ce Halı ve Koltuk Yıkama Fabrikası,2026-02-27 09:32:33,"Utilities, security and maintenance services",
Naz Pet Shop,2026-03-07 12:46:19,"Beauty, personal care and wellness",4.4
Gezen 22 Mobilya,2026-02-27 05:15:11,Retail and trade,4.4
Toyzz Shop,2026-02-27 05:21:04,Food and beverages,4.0
,2026-02-22 19:38:51,Other and unspecified,
Edirne Belediyesi Atatürk Kültür Merkezi ve Belediye Konsevatuar Binası,2026-03-10 15:57:16,"Culture, arts and entertainment",4.4
Edirne Lastikçi Murat,2026-03-01 03:00:57,"Automotive, motorcycles and vehicles",5.0
Bitlis Ticaret ve Sanayi Odası,2026-02-19 00:39:54,Retail and trade,
Cafe Cambridge,2026-03-07 16:17:34,Food and beverages,5.0
Это Винил,2026-02-22 18:45:45,Retail and trade,5.0
Şehit Yüzbaşı Necdi Şentürk Kışlası,2026-02-18 23:27:22,"Nature, parks and outdoor places",
Antique Pizzeria,2026-03-07 16:16:34,Food and beverages,5.0
Edirne Mevlana Aile Sağlığı Merkezi,2026-03-07 08:05:47,Healthcare and medical services,
,2026-03-11 14:06:43,Other and unspecified,
Edirne Alsancakspor Futbol Okulu,2026-03-08 10:16:00,Sports and active recreation,4.7
Kurtuluş Cad.,2026-02-21 15:19:32,"Landmarks, addresses and geography",
Enez,2026-02-28 06:11:02,"Landmarks, addresses and geography",
Smart Edirne,2026-03-12 16:11:18,Retail and trade,
Smart Edirne,2026-03-12 16:05:54,Retail and trade,
