org_name,time,category,org_rating
Yağıbasan Kız Öğrenci Yurdu,2026-02-14 21:16:21,"Construction, renovation and interior",0.0
Karaköy,2026-03-14 20:04:57,"Landmarks, addresses and geography",4.1
Kamil Koç,2026-02-20 18:26:59,Transportation and logistics,2.0
Dudullu Otogarı,2026-03-14 18:52:46,"Landmarks, addresses and geography",
,2026-03-04 10:50:56,Other and unspecified,
Halk Ekmek,2026-02-15 11:08:24,Food and beverages,4.7
Bedesten Çarşısı,2026-02-20 18:29:56,Retail and trade,4.4
Turhal,2026-03-03 16:48:50,"Landmarks, addresses and geography",
Düzce Gençlik Merkezi,2026-02-28 12:18:21,Religion and community organizations,4.2
Güzeldere Şelalesi Tabiat Parkı,2026-02-13 21:59:26,"Nature, parks and outdoor places",4.9
,2026-03-11 20:38:44,Other and unspecified,
Şehit Osman Çatana Polis Merkezi,2026-03-11 20:31:00,"Landmarks, addresses and geography",
Toplu taşıma durağı,2026-02-28 19:10:30,Transportation and logistics,
Yeşil Türbe,2026-02-21 09:46:43,"Nature, parks and outdoor places",5.0
Celil Yağız Sahnesi,2026-03-03 06:48:04,"Culture, arts and entertainment",
Moda yakamoz,2026-03-07 21:54:54,Retail and trade,
Düzce Fehmi Öney Sevgi Evleri,2026-03-10 02:45:56,Religion and community organizations,0.0
Genç Kuyumculuk,2026-03-05 14:02:45,Retail and trade,
Feza Gürsey Bilim Merkezi,2026-02-23 08:53:23,"Nature, parks and outdoor places",4.8
Wat Mobilite Elektrikli Araç Şarj İstasyonu,2026-02-28 07:34:53,"Automotive, motorcycles and vehicles",
Tam Emlak,2026-02-28 20:55:46,Real estate and business properties,4.3
Taşkent Tren İstasyonu,2026-03-15 09:40:37,"Nature, parks and outdoor places",0.0
Azmimilli Mah.,2026-03-09 09:46:41,Government and municipal services,
Hemşin Köyü Camii,2026-02-16 08:12:43,Religion and community organizations,5.0
,2026-02-28 19:05:32,Other and unspecified,
Mudanya,2026-02-23 15:29:51,"Landmarks, addresses and geography",
,2026-03-15 04:13:54,Other and unspecified,
Binef At Çiftliği,2026-03-11 15:40:59,Sports and active recreation,4.2
Aydınpınar Spor Kulübü,2026-02-23 17:33:43,Sports and active recreation,
,2026-03-02 02:10:26,Other and unspecified,
Arnavutköy,2026-03-12 18:11:59,"Landmarks, addresses and geography",
İsmetpaşa Ortaokulu,2026-02-28 20:39:37,Education and training,0.0
Rumeli Kebapçısı 1933,2026-02-22 18:51:37,Food and beverages,4.4
Özerler Mermer Madencilik İnşaat Sanayi,2026-02-16 16:44:32,"Manufacturing, industry and equipment",
Güzeldere Şelalesi Tabiat Parkı,2026-03-14 15:49:35,"Nature, parks and outdoor places",4.9
Masal Sanat Cafe,2026-02-28 12:26:46,Food and beverages,4.3
Taşkent Tren İstasyonu,2026-03-15 09:42:30,"Nature, parks and outdoor places",0.0
Senso Kozmetik Düzce Fabrika,2026-03-10 22:59:40,"Beauty, personal care and wellness",
Yıldırım Şekerleme,2026-03-06 16:55:23,Food and beverages,4.5
Pet Avrupa,2026-03-15 04:05:43,"Nature, parks and outdoor places",4.5
Çaydamar Mah.,2026-02-24 09:23:50,Government and municipal services,
Audteye Yapay Zeka,2026-03-13 22:09:42,"IT, telecommunications and electronics",
Yıldırım Şekerleme,2026-03-06 16:54:20,Food and beverages,4.5
Arnavutköy,2026-02-27 16:40:36,"Landmarks, addresses and geography",
,2026-03-01 18:11:10,Other and unspecified,
Kültür Sürücü Kursu,2026-03-05 12:26:30,"Automotive, motorcycles and vehicles",5.0
Güzeldere Şelalesi Tabiat Parkı,2026-03-09 11:09:48,"Nature, parks and outdoor places",0.0
Prusias AD Hypium Antik Kenti,2026-02-16 20:02:59,"Nature, parks and outdoor places",4.5
,2026-03-06 16:51:18,Other and unspecified,
Barber's Club,2026-02-15 14:35:35,Retail and trade,5.0
Sınırlı Sorumlu Düzce Küçük Sanayi Sitesi Yapı Kooperatifi,2026-03-03 06:55:51,"Automotive, motorcycles and vehicles",3.4
Güzeldere Şelalesi Tabiat Parkı,2026-03-09 11:07:26,"Nature, parks and outdoor places",0.0
Yıldırım Şekerleme,2026-03-06 16:57:12,Food and beverages,4.5
,2026-03-09 09:48:24,Other and unspecified,
,2026-03-04 13:40:07,Other and unspecified,
Şehit Osman Çatana Polis Merkezi,2026-03-11 20:32:26,"Landmarks, addresses and geography",
Karadeniz Ereğli Belediyesi,2026-02-27 18:08:45,Government and municipal services,0.0
Atatürk Blv.,2026-03-11 20:38:08,"Landmarks, addresses and geography",
Kamil Koç,2026-02-20 18:21:35,Transportation and logistics,2.0
Cihat Burger,2026-03-14 09:30:07,Food and beverages,4.1
Afyon Lokum Şöleni,2026-03-06 16:52:43,Food and beverages,
Taşkent Tren İstasyonu,2026-03-15 09:41:27,"Nature, parks and outdoor places",0.0
Akçakoca Eczanesi,2026-03-03 14:07:14,Healthcare and medical services,
Çamlıpınar Mesire Alanı Piknik Alanı,2026-03-09 11:08:42,"Nature, parks and outdoor places",
Karaköy,2026-03-14 20:09:13,"Landmarks, addresses and geography",4.1
Feshane Kongre ve Kültür Merkezi,2026-02-17 14:29:17,"Culture, arts and entertainment",4.6
Serbest Muhasebeci Mali Müşavir İbrahim Gökçe,2026-03-11 20:28:37,Finance and professional services,
Kaymakçızade afyon,2026-02-20 18:26:14,Food and beverages,4.9
Prusias AD Hypium Antik Kenti,2026-02-16 20:17:20,"Nature, parks and outdoor places",4.5
Merkez Tahtakale,2026-02-18 18:44:47,Retail and trade,
Kıraç Futbol Akademi,2026-02-23 18:23:55,Sports and active recreation,4.4
Düzce Organize Sanayi Bölge Müdürlüğü,2026-03-10 23:01:08,Government and municipal services,
Bahçelievler Mah.,2026-02-27 01:13:34,Government and municipal services,
Topuk Yaylası,2026-03-13 15:01:23,Other and unspecified,
Kırıkkale,2026-03-01 09:29:35,"Landmarks, addresses and geography",
№ 1 jataqhana,2026-02-14 21:15:41,"Construction, renovation and interior",0.0
Düzce,2026-02-27 18:07:33,"Landmarks, addresses and geography",
Alanya Cleopatra Beach Alanya Kleopatra Beach,2026-03-08 19:37:35,"Nature, parks and outdoor places",0.0
Berceste 4 Dinlenme Tesisleri,2026-03-12 16:27:05,"Tourism, lodging and travel",3.8
Düzce Belediyesi Çocuk Üniversitesi,2026-02-28 12:23:25,Education and training,
Karaca Mah.,2026-02-16 04:43:55,Government and municipal services,
Anahtar Parti Düzce İl Başkanlığı,2026-02-23 00:15:34,Government and municipal services,
Zeki Devrim Altın Gümüş,2026-03-09 20:52:53,Retail and trade,
Feshane Kongre ve Kültür Merkezi,2026-02-17 14:28:26,"Culture, arts and entertainment",4.6
Atatürk Blv.,2026-03-11 20:34:37,"Landmarks, addresses and geography",
Akçakoca Belediyesi,2026-03-07 23:45:33,Government and municipal services,0.0
Düzce,2026-03-10 17:20:59,"Landmarks, addresses and geography",
Topuk Yaylası,2026-02-27 16:17:00,Other and unspecified,
,2026-02-20 18:20:37,Other and unspecified,
,2026-02-16 14:49:56,Other and unspecified,
Düzce Bölge Tiyatrosu,2026-03-02 19:10:52,"Culture, arts and entertainment",
Zonguldak Çaycuma Havalimanı,2026-02-24 09:25:13,"Nature, parks and outdoor places",4.0
Fenerbahçe Spor Kulübü Topuk Yaylası Tesisleri,2026-02-16 20:05:15,Sports and active recreation,4.9
,2026-03-01 17:57:02,Other and unspecified,
Hilaltepe Mesire Alanı,2026-03-09 08:14:15,"Landmarks, addresses and geography",
Düzce,2026-03-17 09:56:15,"Landmarks, addresses and geography",
Metro Turizm,2026-03-15 08:16:35,Transportation and logistics,3.9
Güzeldere Şelalesi Tabiat Parkı,2026-03-13 14:41:16,"Nature, parks and outdoor places",0.0
Düzce Güven,2026-03-04 06:21:27,Transportation and logistics,1.6
Isparta Petrol Turizm,2026-02-20 18:24:22,Transportation and logistics,
Quick Pizza Kalıcı Konutlar,2026-02-26 13:08:36,Food and beverages,
Üsküp,2026-03-15 04:27:22,"Landmarks, addresses and geography",
Düzce Nota Veteriner Kliniği,2026-02-14 06:23:46,Healthcare and medical services,5.0
Düzce Merkez,2026-03-05 01:12:16,"Nature, parks and outdoor places",
,2026-03-01 17:43:40,Other and unspecified,
Düzce Defterdarlığı,2026-02-27 15:35:08,Government and municipal services,
Şahne Merkez Mah.,2026-03-03 06:48:48,Government and municipal services,
Sevgi Konuk Evi,2026-03-10 02:45:13,"Construction, renovation and interior",
Senso Kozmetik Düzce Fabrika,2026-03-10 22:59:20,"Beauty, personal care and wellness",
,2026-02-18 01:15:02,Other and unspecified,
,2026-03-15 00:51:13,Other and unspecified,
Kahire,2026-03-14 22:13:56,"Landmarks, addresses and geography",
Yht Bilet Satış Noktası,2026-03-15 09:33:49,Transportation and logistics,
Düzce Gençlik Merkezi,2026-02-28 12:19:32,Religion and community organizations,4.2
Halk Ekmek,2026-02-15 11:09:12,Food and beverages,4.7
Akçakoca,2026-03-15 15:26:52,"Landmarks, addresses and geography",
Ballıkayalar Tabiat Parkı,2026-03-09 10:32:43,"Nature, parks and outdoor places",4.1
Düzce,2026-03-13 22:08:53,"Landmarks, addresses and geography",
Düzce Gençlik Merkezi,2026-02-28 12:22:49,Religion and community organizations,4.2
