org_name,time,category,org_rating
Nous Tattoo by Savaş Yaman,2026-02-28 01:25:52,"Beauty, personal care and wellness",5.0
She&He Masaj Salonu,2026-02-27 09:07:28,"Beauty, personal care and wellness",4.5
Arte-miss cafe,2026-03-01 19:31:22,Food and beverages,4.1
"4. Konak Sok., No:13",2026-02-22 12:02:52,"Landmarks, addresses and geography",
Bingöl İl Jandarma Komutanlığı,2026-02-15 10:26:48,"Landmarks, addresses and geography",
Karaca Züccaciye,2026-02-21 20:22:34,Retail and trade,4.2
"Genç Osman Cad., No:27",2026-02-23 20:10:33,Agriculture,
Yükseller Dinlenme Tesisi,2026-02-22 15:55:20,Food and beverages,1.9
Meteoroloji 12. Bölge Müdürlüğü,2026-02-20 14:06:49,Government and municipal services,
Ankara Açık Ceza İnfaz Kurumu,2026-03-10 14:14:27,Education and training,
Erzurum Bölge Eğitim Ve Araştırma Hastanesi,2026-03-07 08:49:28,Healthcare and medical services,3.9
Pilot Garage VIP Mersin,2026-03-01 10:25:59,"Automotive, motorcycles and vehicles",4.7
,2026-02-22 06:36:06,Other and unspecified,
Ak Özdemir,2026-03-04 11:55:46,"Nature, parks and outdoor places",3.6
Adana,2026-02-21 18:40:06,"Landmarks, addresses and geography",
Watsons,2026-03-09 18:10:30,"Beauty, personal care and wellness",
Erzurum Otogarı,2026-02-22 14:12:32,"Landmarks, addresses and geography",2.6
Gün Işığı Kafe Çikolata,2026-02-14 07:45:06,Food and beverages,4.3
Bodrum Kalesi - Sualtı Arkeoloji Müzesi,2026-03-11 19:53:18,"Nature, parks and outdoor places",4.9
,2026-03-05 10:43:43,Other and unspecified,
Ford - Doğanlar Otomotiv,2026-03-13 20:04:46,"Automotive, motorcycles and vehicles",4.1
İstanbul Sabiha Gökçen Uluslararası Havalimanı,2026-02-15 16:26:08,"Nature, parks and outdoor places",4.1
Ağrı Erzurum Karayolu,2026-02-15 21:04:36,"Landmarks, addresses and geography",
Maaza International Co,2026-03-12 16:30:30,"Manufacturing, industry and equipment",
Ahmet Hamdı̇ Tanpınar Ortaokulu,2026-02-28 08:25:01,Education and training,4.0
Şair Fuzuli Sok. (Boğaz Yolu Küme Evler),2026-02-17 14:42:54,"Landmarks, addresses and geography",
"Mehmet Akif Ersoy Cad., No:46",2026-02-14 03:40:04,Agriculture,
Payday,2026-02-28 11:51:26,"IT, telecommunications and electronics",
1071 Malazgirt Ortaokulu,2026-02-22 11:53:12,Education and training,
Tortum Şelalesi,2026-02-14 13:14:26,"Nature, parks and outdoor places",4.9
Penneroma,2026-02-14 20:46:46,Food and beverages,1.6
Qualista Lounge,2026-03-06 12:04:32,Food and beverages,4.9
,2026-02-27 09:13:34,Other and unspecified,
Emekliler lokali,2026-03-15 11:12:04,Food and beverages,
Solhan,2026-03-09 00:00:40,"Landmarks, addresses and geography",
Uludağ Kayak Merkezi,2026-02-21 10:11:34,"Nature, parks and outdoor places",4.4
Atco Otomatik Şanzıman Ankara,2026-03-06 18:45:54,"Automotive, motorcycles and vehicles",4.3
Eskişehir,2026-02-18 09:38:07,"Landmarks, addresses and geography",
Akçay Mah.,2026-02-26 17:30:48,Government and municipal services,
Nakkaş Cafe Restaurant,2026-02-15 21:03:22,Food and beverages,4.2
,2026-02-26 06:54:47,Other and unspecified,
,2026-02-20 19:14:55,Other and unspecified,
Karadeniz,2026-03-04 18:11:23,"Utilities, security and maintenance services",
