org_name,time,category,org_rating
Taşkuyu Cave,2026-02-24 19:52:23,"Nature, parks and outdoor places",4.9
52 Ciğer Kebap,2026-02-22 18:21:48,Food and beverages,4.4
A 101,2026-02-16 11:33:56,Food and beverages,
Adalet Parkı,2026-02-22 05:22:48,"Nature, parks and outdoor places",
Green Canyon,2026-02-20 20:38:43,Food and beverages,4.9
Karaköprü,2026-02-20 16:14:24,"Nature, parks and outdoor places",
Çanakkale Savaşları Araştırma Merkezi ve Kütüphanesi,2026-02-16 21:18:18,Government and municipal services,4.7
Vangölü Havzası,2026-02-15 20:19:35,"Nature, parks and outdoor places",
Ankara,2026-02-15 22:13:23,"Landmarks, addresses and geography",
Sarnıç Izgara,2026-02-28 12:03:35,Food and beverages,4.5
Antakya,2026-02-15 23:35:46,"Nature, parks and outdoor places",
Atlas El Aletleri Hırdavat San Tic Ltd Sti,2026-03-16 07:05:44,"Manufacturing, industry and equipment",
Yaşar Teknik Soğutma Beyaz Eşya Tamiri Klima Montajı ve Özel Servisi,2026-02-16 19:32:39,"Utilities, security and maintenance services",4.8
Gazi Metal,2026-02-16 18:46:42,"Manufacturing, industry and equipment",4.0
Dinç Giyim,2026-02-27 07:27:13,Retail and trade,
Gölpazarı Adliyesi,2026-03-12 03:09:54,Government and municipal services,0.0
23 Nisan İlkokulu,2026-02-24 11:26:53,Education and training,0.0
Ayasofya-i Kebir Cami-i Şerifi,2026-03-06 14:04:20,Religion and community organizations,5.0
Tuna Teks,2026-02-27 08:04:08,"Manufacturing, industry and equipment",
Petra,2026-02-17 11:30:29,"Landmarks, addresses and geography",
Yeşil Türbe,2026-03-09 15:21:48,"Nature, parks and outdoor places",5.0
Ortaköy Perşembe Pazarı,2026-02-19 09:43:47,Retail and trade,4.0
Yılmaz Eczanesi,2026-02-24 16:59:54,Healthcare and medical services,4.4
Köfteci Kirli Ahmet Usta,2026-02-15 10:27:22,Food and beverages,4.1
Alanya,2026-03-01 20:26:04,"Landmarks, addresses and geography",
Kastamonu,2026-03-04 09:04:44,"Landmarks, addresses and geography",
Adabey Ev Yemekleri,2026-02-22 20:08:47,Food and beverages,5.0
Güzelyurt Restaurant,2026-02-16 18:58:52,Food and beverages,4.5
Mersin Şehirlerarası Otobüs Terminali,2026-03-11 17:02:09,"Landmarks, addresses and geography",3.8
Kayseri,2026-03-15 16:34:29,"Landmarks, addresses and geography",
Şok,2026-02-17 10:50:05,Food and beverages,
Antalya,2026-02-28 16:15:50,"Landmarks, addresses and geography",
,2026-03-06 07:54:26,Other and unspecified,
Hacettepe University,2026-02-23 09:47:34,Education and training,
Yeongdeungpo-ro 19-gil,2026-02-22 01:21:49,"Landmarks, addresses and geography",
Digitürk ABC Teknik,2026-02-17 13:41:46,"IT, telecommunications and electronics",
Çumra Otogarı,2026-02-20 11:40:27,"Landmarks, addresses and geography",3.6
Dmax Balgat Oto Uygulama Merkezi,2026-02-17 14:50:20,"Automotive, motorcycles and vehicles",
Gök Market,2026-02-18 07:18:35,Food and beverages,
Esen Eczanesi,2026-02-26 20:59:50,Healthcare and medical services,4.3
Profilo Yetkili Servisi,2026-02-16 06:27:22,"Utilities, security and maintenance services",
Rize Kalesi,2026-02-17 20:24:41,"Nature, parks and outdoor places",4.4
Engin Koltuk,2026-02-22 20:04:03,"Construction, renovation and interior",4.2
Филиал фонда Защитники Отечества по Алтайскому краю,2026-02-23 09:53:39,Government and municipal services,0.0
,2026-03-06 13:02:58,Other and unspecified,
Galatasaray Spor Kulübü,2026-02-19 20:11:44,Sports and active recreation,4.2
Eywan Cağ Kebap & Kahvalti Evi,2026-03-10 21:09:21,Food and beverages,4.2
Ar-el tabela,2026-02-21 07:51:59,"Construction, renovation and interior",4.3
Şehit İlhan Demir Yatılı Bölge Ortaokulu,2026-02-23 21:19:43,Education and training,
Kartepe Teleferik,2026-02-14 09:18:49,"Landmarks, addresses and geography",
Ankara Karadeniz Nakliyat,2026-02-19 08:29:01,Transportation and logistics,4.0
Sunay Eczanesi,2026-02-23 04:00:01,Healthcare and medical services,
Yeşil Türbe,2026-03-09 15:19:28,"Nature, parks and outdoor places",5.0
Nehir Pastanesi,2026-03-13 20:34:45,Food and beverages,4.0
,2026-02-17 13:52:50,Other and unspecified,
Ehil Kebap Meram,2026-02-26 06:23:23,Food and beverages,5.0
Limonzi,2026-02-22 13:21:54,Healthcare and medical services,4.8
,2026-02-14 07:04:17,Other and unspecified,
,2026-02-17 17:49:32,Other and unspecified,
Lokman,2026-02-26 07:55:59,Food and beverages,
Kale Eteği Millet Bahçesi,2026-02-22 14:29:58,"Nature, parks and outdoor places",
Adana Doğu Alın Gişeleri,2026-02-16 04:37:27,Retail and trade,0.0
Samsung Servis Merkezi,2026-03-01 12:44:27,"Utilities, security and maintenance services",
Kafkas Cephesi Harp Tarihi Müzesi,2026-02-24 07:19:50,"Nature, parks and outdoor places",5.0
Serdar Sok.,2026-03-08 14:59:02,"Landmarks, addresses and geography",
,2026-03-06 19:57:56,Other and unspecified,
Turnadere Mah.,2026-03-11 18:26:39,Government and municipal services,
Bosch,2026-02-14 14:38:29,Retail and trade,
Crazy Brothers,2026-02-17 22:42:35,Food and beverages,5.0
Orta Park,2026-03-09 15:29:51,"Nature, parks and outdoor places",
Yandex,2026-03-04 16:06:29,"IT, telecommunications and electronics",5.0
Özel Renk İş Otomotiv,2026-02-15 16:44:21,"Automotive, motorcycles and vehicles",4.4
Yaşaroğlu Mobilya,2026-03-15 20:20:02,Retail and trade,4.3
Toplanma Alanı - Demokrasi Meydanı,2026-02-16 13:02:00,Real estate and business properties,0.0
,2026-02-15 15:53:09,Other and unspecified,
Alanya Üniversitesi - Hamdullah Emin Paşa Kampüsü,2026-02-19 17:22:31,Education and training,
Alibeyköy Mah.,2026-03-01 11:53:13,Government and municipal services,
Ekin Cafe,2026-02-14 15:55:56,Food and beverages,4.3
Total Energies,2026-03-10 10:54:29,"Automotive, motorcycles and vehicles",4.3
Rize Belediyesi,2026-02-24 12:09:57,Government and municipal services,0.0
Özenen Cilt Evi,2026-02-24 09:22:50,Retail and trade,
Elazığ Havalimanı,2026-03-14 19:57:03,"Nature, parks and outdoor places",4.2
"Zambak Sok., No:4",2026-03-06 20:56:54,Agriculture,
Çaldıran,2026-02-21 13:58:36,"Landmarks, addresses and geography",
Buca-yeşilyurt Minibüs Hareket Noktası,2026-02-19 09:01:47,Transportation and logistics,2.7
Bulanık Devlet Hastanesi,2026-03-02 13:24:49,Healthcare and medical services,
Yandex,2026-02-20 11:42:40,"IT, telecommunications and electronics",5.0
Bounty Hunter,2026-02-14 06:27:46,Retail and trade,5.0
Giotto,2026-03-15 13:52:52,Food and beverages,4.6
,2026-03-14 18:15:16,Other and unspecified,
