org_name,time,category,org_rating
,2026-02-27 22:10:27,Other and unspecified,
BP Dağaçıkan Petrol,2026-03-06 00:18:18,"Automotive, motorcycles and vehicles",
Opet,2026-03-06 00:16:53,"Automotive, motorcycles and vehicles",4.2
Kilis,2026-02-25 21:10:43,"Landmarks, addresses and geography",
Kilis,2026-03-11 18:41:22,"Landmarks, addresses and geography",
Kamışlı,2026-03-10 20:25:05,"Landmarks, addresses and geography",
Öz Kaptan Eczanesi,2026-03-07 13:01:59,Healthcare and medical services,
Atlas Beach Hotel,2026-03-12 20:02:29,"Tourism, lodging and travel",4.2
Hatay,2026-03-10 17:39:42,"Landmarks, addresses and geography",
Hatay,2026-03-10 17:40:03,"Landmarks, addresses and geography",
Öz Kaptan Eczanesi,2026-03-07 13:01:02,Healthcare and medical services,
