org_name,time,category,org_rating
İlyas Usta Lokantası,2026-03-09 06:27:42,Food and beverages,4.3
Selcen Eczanesi,2026-02-28 09:44:31,Healthcare and medical services,
T.C. Mesleki Yeterlilik Kurumu,2026-02-28 04:15:14,Government and municipal services,0.0
Ambar Uşak Merkez,2026-03-17 13:09:32,Retail and trade,
Karaağaç Mah.,2026-02-22 13:50:59,Government and municipal services,
Uşak Belediyesi Spor Salonu,2026-02-27 19:08:37,Sports and active recreation,
Eşme Otogarı,2026-03-01 08:33:18,"Landmarks, addresses and geography",
,2026-02-27 14:11:18,Other and unspecified,
Güney Akdeniz Seyahat,2026-02-28 14:00:29,Transportation and logistics,1.0
Gardizi,2026-03-02 19:43:11,Food and beverages,4.7
23 Nisan Ortaokulu,2026-03-09 13:32:07,Education and training,0.0
Bereginya,2026-02-15 18:46:04,"Nature, parks and outdoor places",
Uşak Otogarı,2026-02-28 08:56:15,Transportation and logistics,3.8
Bakacakkadı Beldesi,2026-02-27 14:13:53,Government and municipal services,
,2026-03-11 12:21:51,Other and unspecified,
Kafe Meram,2026-02-17 13:09:20,Food and beverages,
Silivri,2026-02-15 18:47:47,"Landmarks, addresses and geography",
Uşak Antika Evi,2026-03-12 14:07:13,Retail and trade,
Halı Bank,2026-02-15 13:44:50,Retail and trade,4.3
,2026-03-15 10:20:39,Other and unspecified,
Karahallı,2026-03-05 18:34:49,"Landmarks, addresses and geography",
23 Nisan Ortaokulu,2026-03-09 13:31:10,Education and training,0.0
Akbank ATM,2026-03-12 12:13:48,"Utilities, security and maintenance services",
Arslantepe Höyüğü,2026-02-16 16:41:43,"Nature, parks and outdoor places",4.7
Gökçek Köyü,2026-03-01 15:07:37,Government and municipal services,
,2026-02-20 16:50:20,Other and unspecified,
Uşak,2026-03-11 12:22:25,"Landmarks, addresses and geography",
Uşak,2026-03-11 12:21:23,"Landmarks, addresses and geography",
Demirayak Mobilya,2026-02-27 21:33:41,Retail and trade,
Tüprag Kışladağ Altın Madeni,2026-02-14 13:33:29,"Manufacturing, industry and equipment",4.2
Tatlı Telaşlar Patisserie,2026-02-15 20:07:35,Food and beverages,
Devlet Su İşleri 23. Şube Müdürlüğü,2026-03-03 09:04:18,Government and municipal services,
Zonguldak Belediyesi 100. Yıl Terminali,2026-02-27 14:13:15,"Landmarks, addresses and geography",4.1
Uşak,2026-03-11 12:22:50,"Landmarks, addresses and geography",
Uzal Hukuk - Uşak Avukat,2026-02-18 21:21:18,Finance and professional services,4.9
Motorring,2026-03-15 05:20:37,"Automotive, motorcycles and vehicles",4.8
Uşak Karun Avm,2026-03-16 02:52:08,"Culture, arts and entertainment",
Altın Demlik Çay Evi,2026-02-28 06:34:19,Food and beverages,
,2026-02-20 15:55:33,Other and unspecified,
Eskişehir Ticaret Borsası,2026-03-04 14:37:06,Retail and trade,4.1
Yıldız Aspava,2026-03-07 14:03:46,Food and beverages,4.4
Batman Üniversitesi Merkez Kampüsü,2026-02-16 14:28:01,Education and training,4.1
Carizma Oto Yıkama,2026-03-10 09:40:40,"Automotive, motorcycles and vehicles",4.3
777 Otomotiv,2026-02-26 03:26:54,"Automotive, motorcycles and vehicles",4.4
Şehit Mehmet Çetin İmam Hatip Ortaokulu,2026-03-03 17:04:04,Education and training,0.0
Oruçoğlu Yem ve Un Bayi,2026-03-17 14:45:26,Food and beverages,
Carizma Oto Yıkama,2026-02-15 17:29:29,"Automotive, motorcycles and vehicles",4.3
Fethiye Kayaköy Gemiler Plajı,2026-03-14 09:38:56,"Nature, parks and outdoor places",0.0
,2026-03-08 13:16:54,Other and unspecified,
Eyüp Sultan Camii yenıdoğan,2026-03-03 19:34:43,Religion and community organizations,5.0
7service,2026-02-26 03:28:49,"Utilities, security and maintenance services",
Uşak Merkez ,2026-03-08 13:21:26,"Nature, parks and outdoor places",
,2026-02-18 17:56:58,Other and unspecified,
Uşak,2026-03-05 18:36:07,"Landmarks, addresses and geography",
Trabzon Kalesi,2026-02-28 11:36:32,"Nature, parks and outdoor places",4.0
,2026-02-22 14:25:53,Other and unspecified,
