org_name,time,category,org_rating
Antre Gurme Kitchen,2026-03-15 12:59:26,Food and beverages,4.5
Değirmen Restaurant,2026-03-12 06:22:24,Food and beverages,3.8
Cumhuriyet Meydanı,2026-03-07 14:54:58,"Landmarks, addresses and geography",
İBB Kültür AŞ Dijital Deneyim Müzesi,2026-03-10 10:34:00,"Nature, parks and outdoor places",4.3
Eğirdir Gölü,2026-03-14 17:37:11,"Utilities, security and maintenance services",
,2026-03-14 04:25:47,Other and unspecified,
Burdur İl Halk Kütüphanesi,2026-03-15 18:46:18,Government and municipal services,4.2
Burdur Müzesi,2026-03-03 08:31:29,"Nature, parks and outdoor places",
Aqua Kozmetik,2026-03-15 17:37:26,"Beauty, personal care and wellness",
Sevilla Havalimanı,2026-02-27 00:50:59,"Nature, parks and outdoor places",5.0
Sevilla Katedrali,2026-02-27 00:49:35,Religion and community organizations,5.0
Coşkun tarım ve haynacılık,2026-03-02 11:51:51,Agriculture,
Dereköy Köyü,2026-02-14 02:46:05,Government and municipal services,
Sagalassos Antik Kenti,2026-03-01 09:03:46,"Nature, parks and outdoor places",5.0
Eyfel Parfüm,2026-03-15 17:36:58,"Beauty, personal care and wellness",
Denizli Civciv,2026-03-02 14:18:03,Agriculture,
Gölhisar,2026-03-03 16:31:07,"Landmarks, addresses and geography",
Samsun,2026-02-26 17:43:19,"Landmarks, addresses and geography",
Söğüt Sebze Meyve Hali,2026-02-20 22:08:27,Retail and trade,4.2
Örnek,2026-03-15 10:09:23,Food and beverages,4.2
Nasip Otomotiv Ve Yol Yardım,2026-03-12 11:51:35,"Automotive, motorcycles and vehicles",
Burdur İl Halk Kütüphanesi,2026-03-15 18:45:40,Government and municipal services,4.2
Can Büfe,2026-03-03 15:42:33,Food and beverages,
Gaziantep Sosyal Güvenlik İl Müdürlüğü,2026-03-06 12:23:55,Government and municipal services,0.0
Varsak Merkez Mezarlığı,2026-03-02 18:53:12,"Nature, parks and outdoor places",0.0
Ağrı Merkez ,2026-03-11 05:32:21,"Nature, parks and outdoor places",
Burdur Otogarı,2026-03-01 14:52:36,"Landmarks, addresses and geography",3.1
,2026-02-15 08:25:57,Other and unspecified,
Haho (Hahuli) Manastırı,2026-03-13 04:40:09,"Nature, parks and outdoor places",4.6
Kurşunlu Şelalesi,2026-03-12 06:20:37,"Nature, parks and outdoor places",4.6
Kule Park,2026-03-15 07:05:28,"Culture, arts and entertainment",
Gökçebağ Köyiçi Mevkii,2026-03-03 15:43:00,Government and municipal services,
Toyota Shymkent,2026-02-14 09:05:45,"Automotive, motorcycles and vehicles",5.0
,2026-02-28 22:55:28,Other and unspecified,
Burdur İl Halk Kütüphanesi,2026-03-15 18:46:11,Government and municipal services,4.2
Çömek Emlak,2026-03-04 19:55:34,Real estate and business properties,4.9
Meşhur Şişçi Musa - Burdur Şiş,2026-03-14 12:01:53,Food and beverages,5.0
Dereköy Mah.,2026-02-14 02:45:44,Government and municipal services,
Burdur Merkez,2026-03-08 15:13:45,"Nature, parks and outdoor places",
Paşam Ev Yemekleri,2026-02-15 08:51:42,Food and beverages,4.4
Yolcu Karavan,2026-02-27 18:21:04,"Tourism, lodging and travel",4.3
Yukarı Düden Şelalesi,2026-03-12 06:19:13,"Nature, parks and outdoor places",4.9
Toyant - Özgür Usta Toyota Özel Servisi,2026-02-14 09:06:28,"Automotive, motorcycles and vehicles",5.0
Bucak,2026-03-02 18:35:41,"Landmarks, addresses and geography",
Kengo,2026-03-10 10:21:49,Real estate and business properties,5.0
Dost Koleji Eryaman Şubesi,2026-03-02 11:51:29,Education and training,
Söğüt Beldesi,2026-02-20 22:06:45,"Landmarks, addresses and geography",
Koctas,2026-03-02 21:10:04,Food and beverages,4.0
Toyotoline Non-Stop Service,2026-02-14 09:07:09,"Automotive, motorcycles and vehicles",4.9
Yandex,2026-03-03 16:27:46,"IT, telecommunications and electronics",5.0
,2026-03-07 14:54:13,Other and unspecified,
Dalaman VIP Transfer,2026-03-10 13:31:33,Transportation and logistics,
,2026-03-04 16:51:15,Other and unspecified,
,2026-03-04 16:52:12,Other and unspecified,
Burdur Merkez,2026-03-08 15:11:05,"Nature, parks and outdoor places",
Lüks Karadeniz Ekmek Fırını,2026-02-14 15:13:57,Food and beverages,4.1
