org_name,time,category,org_rating
Kada Cafe & Restaurant,2026-02-15 13:49:27,Food and beverages,4.3
,2026-03-07 16:02:43,Other and unspecified,
,2026-03-06 18:05:26,Other and unspecified,
Diş Hekimi Erkan Coşkun,2026-03-03 23:15:53,Healthcare and medical services,
,2026-03-13 16:36:57,Other and unspecified,
Çanakkale Merkez ,2026-02-26 12:44:36,"Nature, parks and outdoor places",
Çanakkale Adalet Sarayı,2026-02-17 20:59:18,Government and municipal services,0.0
,2026-03-13 16:39:14,Other and unspecified,
Kısmet Balık,2026-03-01 19:21:45,Food and beverages,4.7
Dürümcü Habeş,2026-03-09 22:29:20,Food and beverages,4.3
Can Can Apart,2026-03-14 22:52:42,"Tourism, lodging and travel",4.4
Sultan II. Bayezid Kulliyesi Sağlık Müzesi,2026-02-23 06:48:45,"Nature, parks and outdoor places",5.0
Buca Elit Fırın Cafe,2026-03-10 18:32:08,Food and beverages,4.2
Çanakkale İl Tüketici Hakem Heyeti,2026-03-09 10:53:32,Government and municipal services,
,2026-03-03 18:26:49,Other and unspecified,
Bursa Ecza Koop,2026-02-24 19:26:16,Healthcare and medical services,4.9
Armada Alışveriş ve İş Merkezi,2026-03-17 20:21:57,Retail and trade,4.2
,2026-03-10 17:24:20,Other and unspecified,
Eskişehir Şehirlerarası Otobüs Terminali,2026-03-07 20:18:15,"Landmarks, addresses and geography",3.9
Çınarlı Köyü,2026-03-04 14:41:50,"Landmarks, addresses and geography",
ZES Elektrikli Araç Şarj İstasyonu,2026-03-07 12:09:02,"Automotive, motorcycles and vehicles",
Denizkenari Street,2026-02-23 16:48:06,"Landmarks, addresses and geography",
Eskişehir Kurtuluş Müzesi,2026-03-08 15:43:19,"Nature, parks and outdoor places",5.0
1915 Seddülbahir Ahmet Uslu Müzesi,2026-03-16 18:45:26,"Nature, parks and outdoor places",5.0
Çimentaş,2026-03-05 14:38:14,"Manufacturing, industry and equipment",3.0
İpsala Sınır Kapısı,2026-02-27 13:15:50,Other and unspecified,0.0
,2026-03-13 13:21:42,Other and unspecified,
Kalk Gidek Turizm,2026-03-01 22:18:37,"Tourism, lodging and travel",3.8
Sofya,2026-03-15 10:52:52,"Landmarks, addresses and geography",
D-210,2026-02-22 17:45:12,"Landmarks, addresses and geography",
Balat Mah.,2026-02-28 06:22:13,Government and municipal services,
Alçıtepe Köyü,2026-03-02 10:45:06,"Landmarks, addresses and geography",
,2026-03-08 09:05:32,Other and unspecified,
"Konak Sok., No:10",2026-03-08 07:12:12,"Landmarks, addresses and geography",
Atatürk Havalimanı,2026-02-28 06:22:34,Other and unspecified,0.0
Laz Koyu,2026-02-22 19:25:07,"Utilities, security and maintenance services",
Çorlu,2026-03-05 18:23:31,"Landmarks, addresses and geography",
"Kto Karatay Üniversitesi Sağlık, Kültür ve Sportif Faaliyetler Koordinatörlüğü",2026-03-15 16:44:03,Agriculture,4.3
İzmir Otobüs Terminali,2026-02-28 16:03:02,"Landmarks, addresses and geography",1.0
