org_name,time,category,org_rating
Royal Balloon,2026-02-22 10:49:27,Religion and community organizations,5.0
Topkapı Sarayı Müzesi,2026-03-14 11:59:29,"Nature, parks and outdoor places",5.0
New York Cafe Apt in Center,2026-03-06 05:26:43,"Tourism, lodging and travel",4.3
Aksaray Elektrik,2026-03-09 10:47:46,"Utilities, security and maintenance services",5.0
Köksal Halıcı,2026-02-26 14:32:43,"Utilities, security and maintenance services",
,2026-02-18 09:29:03,Other and unspecified,
Komagene Kurtuluş,2026-02-28 12:26:27,Food and beverages,4.2
Hanikiler Yedek Parça,2026-03-10 15:28:37,"Automotive, motorcycles and vehicles",
Gubate Restaurant,2026-02-28 05:48:03,Food and beverages,4.4
Nominal Bilim Okulları,2026-03-07 15:12:48,Education and training,
Safranbolu,2026-03-13 10:23:15,"Landmarks, addresses and geography",
Şehit Uzman Nurullah Sabırer Fen Lisesi,2026-02-28 14:05:53,Agriculture,
Aksaray Müzesi,2026-02-14 08:28:09,"Culture, arts and entertainment",
Demet Bayan Kuaförü,2026-02-14 06:44:39,"Beauty, personal care and wellness",4.9
,2026-03-01 19:23:00,Other and unspecified,
Nominal Bilim Kurs,2026-03-07 15:13:57,Education and training,
Köşem Balıkçilik,2026-03-07 10:21:36,Food and beverages,4.0
Erzurum,2026-03-06 21:13:30,"Landmarks, addresses and geography",
Setik,2026-03-01 08:51:18,Food and beverages,4.1
KMU Kardeşler Mehmet Usta Etli Ekmek,2026-03-08 18:44:04,Food and beverages,4.9
Bal Bahçe,2026-02-14 09:23:55,Food and beverages,4.9
,2026-03-01 14:00:18,Other and unspecified,
Çilek Züccaciye,2026-03-08 11:03:32,Food and beverages,4.2
İbrahim Ethem Baysal Ortaokulu,2026-02-28 13:58:31,Education and training,
Ürgüp,2026-02-14 20:38:32,"Landmarks, addresses and geography",
Ping Pong,2026-03-15 12:24:44,Food and beverages,3.8
Akbulut Çelik Yapı,2026-02-16 19:17:29,"Manufacturing, industry and equipment",
Ortaköy Deva Veteriner Polikliniği,2026-03-05 18:49:55,Healthcare and medical services,4.4
Edirne,2026-02-24 17:55:53,"Landmarks, addresses and geography",
,2026-03-01 08:55:13,Other and unspecified,
Akın Et Tavuk Şarküteri,2026-03-17 11:43:54,Food and beverages,
Uzman Fizyoterapist Bünyamin Aydın,2026-02-17 18:53:39,Healthcare and medical services,0.0
Aksaray Belediyesi,2026-03-04 06:44:16,Government and municipal services,0.0
İbrahim Ethem Baysal Ortaokulu,2026-02-28 13:57:41,Education and training,
Merkez Parkı,2026-03-06 10:09:53,"Nature, parks and outdoor places",0.0
Tyt Prefabrik Müh. İnş Tarım ve Hayv. Nak. San,2026-03-09 02:59:13,"Manufacturing, industry and equipment",
Aksaray Eğitim ve Araştırma Hastanesi,2026-03-06 12:58:39,Healthcare and medical services,3.7
Astral Balık Fish House,2026-03-15 18:42:41,Food and beverages,5.0
Colorful İce World,2026-03-11 20:24:04,Food and beverages,
Alanya,2026-03-09 14:32:47,"Landmarks, addresses and geography",
Metin Döşeme Ve Yenileme Merkezi,2026-02-21 17:05:06,"Construction, renovation and interior",4.2
Komagene,2026-02-28 12:26:19,Food and beverages,
Tires Plus,2026-03-10 15:27:27,"Automotive, motorcycles and vehicles",4.8
Alanya Otogarı,2026-02-27 18:12:04,"Landmarks, addresses and geography",4.3
New York Café,2026-03-06 05:26:12,Food and beverages,
Eskil Eczanesi,2026-03-08 11:10:28,Healthcare and medical services,
Çilehane Yolu Cad.,2026-03-15 12:33:27,"Landmarks, addresses and geography",
Tellitepe Mah.,2026-03-06 21:13:57,"Landmarks, addresses and geography",
Kasap Gurme Organik Ürünler,2026-03-17 11:43:29,Food and beverages,5.0
Setik,2026-03-01 10:51:32,Food and beverages,4.1
Balkan Lokantası,2026-03-11 08:38:46,Food and beverages,4.9
Veskim,2026-03-10 15:27:08,"Manufacturing, industry and equipment",
,2026-03-13 22:52:17,Other and unspecified,
