org_name,time,category,org_rating
Filiz Yalçıner Estetik ve Güzellik Merkezi,2026-03-10 00:15:34,"Beauty, personal care and wellness",
Tavukçu,2026-03-17 02:52:42,Food and beverages,
"2120. Sok., No:2",2026-02-17 22:16:25,Agriculture,
Ál-Ázim,2026-03-12 19:46:41,Religion and community organizations,4.8
Bağdat Pöç Kayseri,2026-02-15 14:36:24,Food and beverages,4.5
Kamil koç - Varan - Nilüfer - Özkaymak,2026-03-04 21:09:26,Transportation and logistics,4.6
Kırşehir İl Özel İdaresi,2026-02-21 21:33:12,Government and municipal services,
Göl Restaurant,2026-02-14 06:45:29,Food and beverages,
Esen Eczanesi,2026-02-17 20:07:54,Healthcare and medical services,
Esen Eczanesi,2026-02-17 20:01:41,Healthcare and medical services,
Kırşehir Otobüs Terminali,2026-03-12 07:48:47,"Landmarks, addresses and geography",3.9
İstanbul Sabiha Gökçen Uluslararası Havalimanı,2026-03-03 18:08:02,"Nature, parks and outdoor places",4.1
Köfteci Yusuf,2026-03-01 18:37:45,Food and beverages,5.0
Bahçeşehir Üniversitesi Beşiktaş Güney Kampüsü,2026-03-10 07:26:00,Education and training,4.2
,2026-02-27 20:10:19,Other and unspecified,
Habertürk,2026-03-17 02:39:01,"Culture, arts and entertainment",4.3
Alsa,2026-03-13 01:00:26,Transportation and logistics,
Mardin,2026-03-09 21:30:04,"Landmarks, addresses and geography",
Göl Restaurant,2026-02-14 06:44:56,Food and beverages,
Kındam Mahallesi TOKİ Cami,2026-03-07 07:13:14,Religion and community organizations,
Bağdat Pöç Kayseri,2026-02-15 14:37:17,Food and beverages,4.5
,2026-02-27 20:45:32,Other and unspecified,
,2026-03-14 21:54:40,Other and unspecified,
Leo Lounge,2026-02-14 06:46:42,Food and beverages,4.4
Bağdat Pöç Kayseri,2026-02-15 14:34:25,Food and beverages,4.5
Köfteci Yusuf,2026-03-01 18:38:34,Food and beverages,2.7
Taraz Regional University named after M.Kh.Dulaty,2026-02-15 17:34:51,Education and training,4.2
Tarabya Mah.,2026-02-15 17:32:59,Government and municipal services,
