org_name,time,category,org_rating
Ata Citroen,2026-03-15 20:38:09,"Automotive, motorcycles and vehicles",1.9
"Hatboyu Bahçeler Küme Evler, No:23",2026-03-10 00:53:20,Agriculture,
Türkiye Jokey Kulübü Veliefendi Hipodromu,2026-03-01 08:10:11,"Landmarks, addresses and geography",4.6
Ata Citroen,2026-03-15 20:36:55,"Automotive, motorcycles and vehicles",1.9
,2026-02-20 17:13:41,Other and unspecified,
İnci Emlak Gayrimenkul Danişmanlik,2026-02-27 19:58:16,Government and municipal services,
Çankırı,2026-02-20 13:55:29,"Landmarks, addresses and geography",
,2026-02-15 19:21:05,Other and unspecified,
Eyüpoğlu Yol,2026-03-13 19:29:29,Food and beverages,4.3
Çankırı Merkez ,2026-03-07 18:06:30,"Nature, parks and outdoor places",
Ankara Etlik Şehir Hastanesi,2026-02-20 13:55:46,Healthcare and medical services,4.2
Çankırı Müzesi,2026-02-23 19:29:39,"Nature, parks and outdoor places",5.0
Yeniköy Mah.,2026-03-11 14:19:23,Government and municipal services,
,2026-02-26 22:03:39,Other and unspecified,
FuzulEv Samsun Bafra Şube,2026-03-05 06:01:11,Finance and professional services,
MyPet,2026-03-08 14:35:59,"Beauty, personal care and wellness",5.0
Sonax,2026-02-14 17:55:13,"Automotive, motorcycles and vehicles",
Sahra Mobilya,2026-02-17 09:49:56,"Construction, renovation and interior",
Emlak Cim Çerkeş,2026-02-27 19:55:10,Real estate and business properties,
Tekçam Parkı,2026-02-15 10:24:51,"Nature, parks and outdoor places",
Yeniköy Mah.,2026-03-11 14:19:50,Government and municipal services,
Bagel Bake,2026-03-12 17:04:41,Food and beverages,4.2
,2026-03-11 14:21:27,Other and unspecified,
Şabanözü,2026-03-12 19:56:38,"Landmarks, addresses and geography",
AutoPark Oto Yıkama,2026-02-20 17:14:01,"Automotive, motorcycles and vehicles",4.3
,2026-03-08 09:11:51,Other and unspecified,
Hacı Ali Mescidi,2026-02-17 16:16:33,Religion and community organizations,
Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2026-03-12 17:04:27,"Construction, renovation and interior",4.7
Yeşilbayır Mah.,2026-03-11 14:17:37,Government and municipal services,
ebebek,2026-03-17 17:50:56,"Beauty, personal care and wellness",
,2026-02-26 22:06:24,Other and unspecified,
