org_name,time,category,org_rating
Mardin Müzesi,2026-03-07 17:31:27,"Nature, parks and outdoor places",5.0
Demiryolu Cad.,2026-02-24 08:00:47,"Landmarks, addresses and geography",
,2026-02-14 10:07:50,Other and unspecified,
56200 Nolu Sok.,2026-03-05 09:04:17,"Landmarks, addresses and geography",
Palma de Mallorca,2026-02-27 12:02:41,Government and municipal services,
Şahin Market,2026-02-21 17:54:29,Food and beverages,0.0
Köylü Kafe,2026-03-16 18:02:55,Food and beverages,4.5
Rota Oto Tamir Ve Elektrik Bakım Ve Onarım Servisi,2026-02-22 18:40:45,"Automotive, motorcycles and vehicles",3.5
Narlıca Mah.,2026-02-15 17:56:53,Government and municipal services,
Türk Telekom,2026-03-09 12:26:55,"IT, telecommunications and electronics",3.4
Belemedik Tabiat Parkı,2026-02-21 11:24:59,"Nature, parks and outdoor places",4.4
360 Panorama Restaurant,2026-02-20 19:09:58,Food and beverages,4.7
Kazım Büfe,2026-03-05 09:54:08,Food and beverages,4.6
Manzara Gözleme,2026-02-23 19:45:00,Food and beverages,5.0
Kuveyt Türk Gaziantep-Karagöz Şubesi,2026-03-04 10:15:21,Agriculture,2.8
Sultan GSM Mısır Çarşısı,2026-03-12 10:48:21,Retail and trade,
Decathlon,2026-02-28 22:42:45,Sports and active recreation,4.3
Niğde,2026-02-16 21:11:32,"Landmarks, addresses and geography",
Adana Anadolu Lisesi,2026-02-15 15:54:42,Agriculture,0.0
,2026-03-09 14:21:11,Other and unspecified,
Erdemli Akdeniz Anadolu Lisesi,2026-03-11 09:27:05,Agriculture,0.0
,2026-02-16 06:46:52,Other and unspecified,
Adana,2026-02-23 06:26:35,"Landmarks, addresses and geography",
,2026-02-18 09:32:17,Other and unspecified,
Merkez Parkı,2026-02-20 21:17:19,"Nature, parks and outdoor places",0.0
Adana Pilates Reformer - Fit Pilates,2026-02-17 16:42:59,Sports and active recreation,5.0
Technokids Mersin,2026-02-18 20:53:56,"Nature, parks and outdoor places",
Reformer Pilates Salonu Selin Ceren Kalli,2026-02-17 16:42:52,"Beauty, personal care and wellness",4.3
,2026-03-02 19:20:14,Other and unspecified,
Söğüşçü Osman Usta,2026-02-23 20:52:23,Food and beverages,4.5
Emek Tekel Bayii,2026-03-12 19:13:46,Food and beverages,
Süleyman Demirel Cad.,2026-03-05 06:56:56,"Landmarks, addresses and geography",
Tekkim Kimya,2026-02-14 22:18:40,"Manufacturing, industry and equipment",
,2026-03-16 16:55:15,Other and unspecified,
Merkez Parkı,2026-02-22 10:09:30,"Nature, parks and outdoor places",0.0
A 101,2026-03-02 11:28:10,Food and beverages,3.4
Kısa Dalga,2026-03-14 08:07:06,Religion and community organizations,
Adana Tarihi Antikacılar,2026-02-21 04:14:52,Retail and trade,
,2026-03-11 16:30:11,Other and unspecified,
Payas Sok.,2026-02-16 15:28:20,"Landmarks, addresses and geography",
,2026-03-03 23:47:15,Other and unspecified,
ZES Elektrikli Araç Şarj İstasyonu,2026-03-15 15:54:42,"Automotive, motorcycles and vehicles",
,2026-02-27 07:29:15,Other and unspecified,
Adana Şehirlerarası Otobüs Terminali,2026-03-05 15:53:51,"Landmarks, addresses and geography",1.0
Kanka Cafe,2026-03-07 16:59:30,Food and beverages,
Tekfen,2026-02-20 13:03:10,"Manufacturing, industry and equipment",4.3
FalconPDR-PPF-Endura Hatay Bayi,2026-02-27 04:50:57,"Automotive, motorcycles and vehicles",
"2026. Sok., No:3",2026-03-03 10:03:10,Agriculture,
Adana Şehirlerarası Otobüs Terminali,2026-02-16 19:48:08,"Landmarks, addresses and geography",1.0
Valo,2026-03-01 17:03:55,"Construction, renovation and interior",4.9
Gratis,2026-03-14 13:22:50,"Beauty, personal care and wellness",4.6
Kazan Store,2026-02-19 16:23:34,Food and beverages,5.0
Ögüm Sögüt Yolu Cad.,2026-02-28 18:05:34,"Landmarks, addresses and geography",
Halit Demir - Dövüş sanatları Kulübü,2026-02-14 09:29:43,Sports and active recreation,4.9
Didem Özkılınç Beauty,2026-03-01 17:09:04,"Beauty, personal care and wellness",2.2
Galatasaray Spor Kulübü,2026-02-26 11:12:20,Sports and active recreation,4.2
,2026-02-18 09:32:01,Other and unspecified,
Amazon Cargo,2026-03-07 07:56:53,Transportation and logistics,0.0
Sınırlı Sorumlu Kırıkhan Kadın Girişimi Üretim ve İşletme Kooperatifi,2026-02-13 23:31:27,Food and beverages,
114. Sok.,2026-03-05 09:02:59,"Landmarks, addresses and geography",
Ali Baba Süt,2026-03-14 10:32:58,Retail and trade,4.2
Çiçek Köy,2026-02-15 08:58:41,Food and beverages,3.0
Toki Şehit Süleyman Yılmaz Anadolu Lisesi,2026-02-22 06:56:41,Agriculture,0.0
Serhat Et Ve Balık Restoran,2026-02-21 09:02:51,Food and beverages,4.2
Mersin Anamur Devlet Hastanesi,2026-03-06 10:12:42,Healthcare and medical services,2.9
İskenderun Kaymakamlığı,2026-02-27 07:59:08,Government and municipal services,0.0
17018. Sok.,2026-03-06 10:12:31,"Landmarks, addresses and geography",
,2026-03-10 18:32:32,Other and unspecified,
Pizza taxi,2026-02-14 12:06:15,Food and beverages,4.3
