org_name,time,category,org_rating
Guriye Hamid Kebab Salonu,2026-02-19 18:09:33,Food and beverages,4.3
,2026-03-06 11:08:07,Other and unspecified,
,2026-02-15 12:42:21,Other and unspecified,
Efşinler Otomotiv,2026-03-14 20:05:36,"Automotive, motorcycles and vehicles",3.6
Sadık Künefe,2026-03-08 16:49:05,"Manufacturing, industry and equipment",
Seyithan Oto Elektrik,2026-03-14 20:12:17,"Automotive, motorcycles and vehicles",
Funtastic Aquariums,2026-03-09 21:52:45,"Nature, parks and outdoor places",4.1
Saf,2026-03-09 19:48:27,Food and beverages,4.6
Hz. Eyyüb Sabır Makamı,2026-03-15 10:57:14,Religion and community organizations,5.0
Kuşadası,2026-03-09 19:42:45,"Landmarks, addresses and geography",
Hacı Fettah Kadooğlu Anadolu Lisesi,2026-03-11 22:14:54,Agriculture,0.0
Hacı Fettah Kadooğlu Anadolu Lisesi,2026-03-11 22:16:38,Agriculture,0.0
Cizre,2026-02-19 08:47:44,"Landmarks, addresses and geography",
,2026-03-14 15:47:05,Other and unspecified,
İzmir Doğal Yaşam Parkı,2026-03-09 21:52:26,"Nature, parks and outdoor places",4.5
Kocakaplan Oto Elektrik,2026-03-14 20:15:38,"Automotive, motorcycles and vehicles",4.9
Fatih Ortaokulu,2026-03-13 18:10:53,Education and training,
Dörtyol Devlet Hastanesi,2026-03-13 17:58:31,Healthcare and medical services,3.0
Ayhan Oto Özel Servis,2026-03-14 22:48:59,"Automotive, motorcycles and vehicles",5.0
,2026-03-08 07:07:03,Other and unspecified,
Marshall,2026-03-01 20:43:22,"Manufacturing, industry and equipment",
Yeşil Fırın Pasta,2026-03-03 07:29:19,Food and beverages,4.7
,2026-03-07 16:59:31,Other and unspecified,
"Park Cad., No:13",2026-03-11 22:19:40,Agriculture,
Sabit Akkaya,2026-02-28 05:50:10,"Beauty, personal care and wellness",4.9
Başak Restaurant cizre,2026-03-03 07:32:31,Food and beverages,
,2026-03-06 03:06:59,Other and unspecified,
Alabanda Antik Kenti,2026-03-09 19:45:04,"Nature, parks and outdoor places",0.0
Antalya Akvaryum,2026-03-09 21:57:38,"Nature, parks and outdoor places",4.2
Kızılsu Köyü,2026-02-14 04:46:31,"Landmarks, addresses and geography",
Van Gölü Turizm,2026-03-14 15:48:09,Transportation and logistics,
Burgaz,2026-02-17 20:27:52,"Landmarks, addresses and geography",
Karavan Rent A Car in Baku,2026-02-17 09:49:50,"Automotive, motorcycles and vehicles",5.0
"1002. Sok., No:55E",2026-03-17 18:12:38,Agriculture,
Diyarbakır Kent Müzesi,2026-03-07 16:57:53,"Nature, parks and outdoor places",4.4
,2026-03-16 01:06:15,Other and unspecified,
Recep Tayyip Erdoğan Bul. (Cizre Cad.),2026-03-16 17:59:58,"Landmarks, addresses and geography",
Artak Yapı İnşaat,2026-03-14 20:14:25,Transportation and logistics,0.0
Gül Kumaş,2026-03-01 20:42:12,"Manufacturing, industry and equipment",4.4
,2026-02-14 19:49:00,Other and unspecified,
Cizre Fen Lisesi,2026-03-13 18:09:16,Agriculture,
Silopi,2026-03-01 20:42:35,"Landmarks, addresses and geography",
Diyarbakır Kent Müzesi,2026-03-07 16:58:34,"Nature, parks and outdoor places",4.4
Sabit Akkaya,2026-02-28 05:49:39,"Beauty, personal care and wellness",4.9
İzmir Doğal Yaşam Parkı,2026-03-09 21:51:40,"Nature, parks and outdoor places",4.5
Atatürk Meydanı (Konak Meydanı),2026-03-09 21:51:25,"Landmarks, addresses and geography",
Adana,2026-02-16 12:51:58,"Landmarks, addresses and geography",
Antalya Akvaryum,2026-03-09 21:53:50,"Nature, parks and outdoor places",4.2
,2026-02-21 13:38:55,Other and unspecified,
,2026-03-07 16:59:03,Other and unspecified,
Yeşiltepe Mah.,2026-03-10 05:37:17,Government and municipal services,
Diyarbakır Kent Müzesi,2026-03-07 16:56:33,"Nature, parks and outdoor places",4.4
Lunapark Altınpark,2026-03-09 19:54:09,"Nature, parks and outdoor places",4.1
,2026-02-21 09:30:12,Other and unspecified,
Diyarbakır Kent Müzesi,2026-03-07 16:59:48,"Nature, parks and outdoor places",4.4
Guriye Hamid Kebab Salonu,2026-02-19 18:13:05,Food and beverages,4.3
Antalya Hayvanat Bahçesi,2026-03-09 21:55:36,"Nature, parks and outdoor places",4.4
Tromsø,2026-02-14 20:22:00,"Landmarks, addresses and geography",
Shell & Turcas Petrol,2026-03-12 09:23:13,"Automotive, motorcycles and vehicles",4.0
Funtastic Aquariums,2026-03-09 21:53:03,"Nature, parks and outdoor places",4.1
Serhat GSM,2026-02-28 16:37:53,Retail and trade,
Mobil Oto Servis Kadıköy'de Oto Tamir Bakım by Araba Garage,2026-03-14 22:47:52,"Automotive, motorcycles and vehicles",4.8
Meryem Ana Kilisesi,2026-03-01 18:18:28,Religion and community organizations,4.7
Viranşehir otogarı,2026-02-21 09:30:31,Transportation and logistics,4.9
Galata Köprüsü,2026-03-13 11:43:50,"Landmarks, addresses and geography",
Seyithan Oto Elektrik,2026-03-14 20:16:24,"Automotive, motorcycles and vehicles",
Serhat İletişim,2026-02-28 16:38:29,Retail and trade,
,2026-03-01 20:04:02,Other and unspecified,
Kocakaplan Oto Elektrik,2026-03-15 12:54:50,"Automotive, motorcycles and vehicles",4.9
Kosey Oto Elektrik,2026-03-14 22:49:29,"Automotive, motorcycles and vehicles",
Yıldızsaray Pastanesi,2026-02-20 17:02:37,Food and beverages,
Cizre Otogarı,2026-03-05 18:29:06,"Landmarks, addresses and geography",2.4
Seyir Teras Cafe,2026-03-03 13:59:08,Food and beverages,4.2
Antalya Hayvanat Bahçesi,2026-03-09 21:56:09,"Nature, parks and outdoor places",4.4
Gündoğdu Mah.,2026-03-08 10:44:00,Government and municipal services,
Cizre,2026-03-12 11:40:14,"Landmarks, addresses and geography",
Yeşiltepe Mah.,2026-03-10 05:35:30,Government and municipal services,
Haberli Köyü,2026-03-01 18:27:11,"Landmarks, addresses and geography",
Çukurova Uluslararası Havalimanı,2026-02-27 20:00:59,"Nature, parks and outdoor places",4.1
"Dirsekli Küme Evler, No:1/3",2026-03-14 20:09:44,Agriculture,
Şifa Eczanesi,2026-03-07 12:59:38,Healthcare and medical services,
Cizre,2026-03-12 11:40:50,"Landmarks, addresses and geography",
Recep Tayyip Erdoğan Bul. (Cizre Cad.),2026-03-16 18:00:28,"Landmarks, addresses and geography",
,2026-02-15 07:28:37,Other and unspecified,
