org_name,time,category,org_rating
Hendek,2026-03-11 01:34:16,"Landmarks, addresses and geography",
İdol Residence,2026-03-07 13:05:14,Real estate and business properties,3.7
Hendek Vinç Harfiyat,2026-03-07 18:44:28,"Manufacturing, industry and equipment",4.8
Muğla evden eve nakliyat Gül Nakliyat,2026-02-22 17:34:59,Transportation and logistics,5.0
Transmarket,2026-03-02 21:37:40,"Manufacturing, industry and equipment",
KebapçıZade Sakarya,2026-02-20 18:14:04,Food and beverages,4.0
Barcelona,2026-03-04 19:27:18,"Landmarks, addresses and geography",
İstanbul Üniversitesi İşletme Fakültesi,2026-03-13 07:22:29,Education and training,4.4
Merkez Mah. (Kağıthane Merkez Mah.),2026-03-03 10:30:21,Government and municipal services,
Opet,2026-02-21 20:45:44,"Automotive, motorcycles and vehicles",4.4
Arifiye Tren İstasyonu,2026-03-17 03:43:05,"Nature, parks and outdoor places",0.0
Acarlar Longozu Tabiat Parkı,2026-03-13 22:49:38,"Nature, parks and outdoor places",4.3
Pablo's,2026-02-24 15:34:59,Food and beverages,3.9
Lastik Ustam,2026-03-08 01:59:58,"Automotive, motorcycles and vehicles",4.4
Bayrampaşa Sebze ve Meyve Hali,2026-03-15 11:48:45,Retail and trade,3.2
Hiranur Büfe,2026-03-14 23:05:19,Food and beverages,
"Adnan Menderes Cad., No:16CF",2026-03-08 16:42:50,Agriculture,
,2026-03-10 12:21:52,Other and unspecified,
Derinkuyu Yeraltı Şehri,2026-03-08 19:57:26,"Nature, parks and outdoor places",4.8
DHL Ecommerce,2026-02-22 09:57:57,Transportation and logistics,
Turgut Alp Cami,2026-02-18 07:03:50,Religion and community organizations,4.8
Osmaniye T Tipi Kapalı Cezaevi,2026-03-09 10:01:20,Education and training,
Sakarya İl Halk Kütüphanesi,2026-02-28 21:33:17,Government and municipal services,4.2
Trattoria Da Teo,2026-02-19 08:40:18,Food and beverages,
Alaf Kuruçeşme,2026-03-12 10:44:27,Food and beverages,4.9
Tesa Makine,2026-03-07 07:08:40,"Manufacturing, industry and equipment",4.8
Ohri,2026-02-17 11:25:29,"Landmarks, addresses and geography",
The berber by Enes Tunç,2026-03-08 18:05:37,"Beauty, personal care and wellness",4.7
ThePhoneLab Amsterdam - Gelderlandplein,2026-03-07 16:06:30,"Utilities, security and maintenance services",
Yılmaz Büyükerşen Balmumu Heykeller Müzesi,2026-03-07 19:47:25,"Nature, parks and outdoor places",5.0
Ziraat Bankası,2026-03-01 12:01:27,Agriculture,
Dikmen Mah.,2026-03-03 19:26:49,Government and municipal services,
Maltepe Piazza,2026-03-08 12:36:42,Retail and trade,4.4
Chacha Corner,2026-02-26 19:21:25,Food and beverages,5.0
Mala Garden,2026-03-11 12:14:31,"Tourism, lodging and travel",0.0
Tarsus Şelalesi,2026-03-02 14:17:30,"Nature, parks and outdoor places",3.5
DenizBank Şube,2026-03-07 21:20:36,Agriculture,
Dikmeçay Köyü,2026-03-15 14:50:08,"Landmarks, addresses and geography",
İmplament,2026-02-24 07:30:16,Healthcare and medical services,4.1
Show Saloon,2026-03-08 18:06:35,Retail and trade,
Yağcılar Mah.,2026-03-02 20:01:13,Government and municipal services,
Karasu,2026-03-05 18:13:50,"Landmarks, addresses and geography",
,2026-02-21 15:16:17,Other and unspecified,
Kakava Şenlikleri,2026-03-11 07:20:18,"Landmarks, addresses and geography",4.4
,2026-02-21 19:38:55,Other and unspecified,
Kardüz Yaylası,2026-03-01 09:59:37,"Landmarks, addresses and geography",
,2026-02-28 18:27:55,Other and unspecified,
İstanbul Sabiha Gökçen Uluslararası Havalimanı,2026-02-19 22:21:48,"Nature, parks and outdoor places",4.1
15 Temmuz Camili Mah.,2026-02-26 09:55:53,Government and municipal services,
349. Sok.,2026-03-07 06:20:29,"Landmarks, addresses and geography",
,2026-02-15 17:27:08,Other and unspecified,
LC Waikiki Türkiye,2026-03-10 11:22:57,Retail and trade,4.4
Udm,2026-03-08 17:12:18,"Manufacturing, industry and equipment",5.0
Evcan Camping,2026-03-05 10:12:42,"Nature, parks and outdoor places",4.2
Ramazan Yılmaz Haır Desing,2026-03-14 20:46:35,"Beauty, personal care and wellness",
,2026-03-15 00:19:19,Other and unspecified,
Otağ Kamp Alanı,2026-03-11 07:17:29,"Nature, parks and outdoor places",5.0
Beylikdüzü Muhasebeci ve Mali Müşavir Muhasebe Bürosu Smmm Emrah Küçükdeniz,2026-03-11 06:11:17,Finance and professional services,5.0
Akyazı,2026-02-22 19:58:21,"Landmarks, addresses and geography",
Güleryüz Kuyumculuk,2026-03-11 13:03:27,Retail and trade,4.6
,2026-02-27 05:04:48,Other and unspecified,
Flavor Nova,2026-03-02 15:13:08,"Beauty, personal care and wellness",
Ankara - Niğde Otoyolu,2026-03-03 16:41:49,"Landmarks, addresses and geography",
Uzungöl Dinlenme Tesisleri,2026-03-06 19:36:50,"Nature, parks and outdoor places",4.2
Emsey Hospital,2026-03-10 09:12:51,Healthcare and medical services,3.8
Nehir Konakları,2026-03-05 14:45:33,"Construction, renovation and interior",4.3
Mekke,2026-03-11 02:49:21,"Landmarks, addresses and geography",
Taraklı Termal,2026-03-09 22:18:42,"Tourism, lodging and travel",3.6
Tahtakale ToptanTicaret,2026-02-22 02:08:26,Retail and trade,5.0
Knidos Antik Kenti,2026-02-22 22:10:21,"Nature, parks and outdoor places",4.8
Arifiye Cad.,2026-03-11 05:13:23,"Landmarks, addresses and geography",
Vega Sigorta,2026-03-07 10:44:41,"Utilities, security and maintenance services",4.3
Hayıtbükü Ahşap Evleri,2026-03-05 10:04:48,"Tourism, lodging and travel",4.4
Tülin bayan kuaförü,2026-03-14 07:07:44,"Beauty, personal care and wellness",4.9
Sakarya Büyükşehir Terminali,2026-03-03 12:38:27,"Landmarks, addresses and geography",4.0
Meşhur Kelleci Pala,2026-02-20 20:17:59,Food and beverages,4.4
Adapark Oto Yıkama ve Kuaför,2026-03-09 03:42:06,"Automotive, motorcycles and vehicles",
The berber by Enes Tunç,2026-03-08 18:06:10,"Beauty, personal care and wellness",4.7
Lüks Erova Turizm,2026-02-16 14:50:38,Transportation and logistics,
İstanbul,2026-03-08 17:50:12,"Landmarks, addresses and geography",
Büyük Çamlıca Cami,2026-02-22 16:32:47,Religion and community organizations,5.0
Karasu Otogarı,2026-03-01 07:40:08,"Landmarks, addresses and geography",4.0
Anpa Gross Market 212 Avm,2026-02-28 18:02:55,Food and beverages,4.3
Ozanlar Valide Cami,2026-03-02 05:18:36,Religion and community organizations,4.9
Genç Bebe Çarşı,2026-02-15 06:22:51,"Utilities, security and maintenance services",
Göynük,2026-02-28 13:19:25,"Landmarks, addresses and geography",
Kaburgacı Yaşar Usta,2026-02-21 19:37:50,Food and beverages,4.2
,2026-02-21 15:15:52,Other and unspecified,
Outlet Center İzmit,2026-03-10 12:07:22,Retail and trade,4.2
,2026-02-27 05:05:03,Other and unspecified,
Yağızlar Yapı Malzemeleri,2026-03-10 12:08:22,Food and beverages,4.3
Beldibi Mah.,2026-02-15 17:21:12,Government and municipal services,
Gizem Eczanesi,2026-03-02 13:55:22,Healthcare and medical services,4.8
Poyrazlar Gölü,2026-02-14 08:45:33,"Culture, arts and entertainment",4.8
Geyve İmam Hatip Lisesi,2026-03-07 13:13:12,Education and training,
Kayar Sucukları,2026-02-17 14:26:04,Food and beverages,
Valetta,2026-02-16 12:53:16,"Landmarks, addresses and geography",
Beyaz İnci Restaurant,2026-03-13 14:15:31,Food and beverages,5.0
Spanish Royal Academy,2026-03-10 07:09:47,Religion and community organizations,
Kampüs Taksi 7/24,2026-03-01 10:29:55,"Automotive, motorcycles and vehicles",4.1
Simitçi Zafer,2026-02-22 06:46:18,Food and beverages,4.8
Şeker Mah.,2026-02-21 18:48:47,Government and municipal services,
,2026-03-02 22:02:40,Other and unspecified,
Manchester,2026-03-04 20:23:56,"Landmarks, addresses and geography",
Liva Balık,2026-02-17 19:58:29,Food and beverages,4.9
Neşe Kuaför,2026-03-13 12:16:46,"Beauty, personal care and wellness",
Beldibi Mah.,2026-02-15 17:20:21,Government and municipal services,
Kampüs Taksi 7/24,2026-03-01 10:29:25,"Automotive, motorcycles and vehicles",4.1
Sertel Lojistik,2026-03-09 10:56:50,Transportation and logistics,4.3
Sakarya Oto Gaz,2026-02-15 14:57:28,"Automotive, motorcycles and vehicles",
Hisar Otopark,2026-03-11 13:58:55,"Nature, parks and outdoor places",
